,property_type,place_name,state_name,lat,lon,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_per_m2,rooms,terraza,patio,parrilla,salon,laundry,pileta,cochera,estado_nuevo,estado_a_reciclar
87758,apartment,Belgrano,Capital Federal,-34.5598729,-58.443362,157500.0,43.0,37.0,3662.7906976744184,3.0,0,0,0,0,0,0,0,0,0
87761,apartment,Chacarita,Capital Federal,-34.5901808,-58.449152100000006,83435.0,40.0,37.0,2085.875,2.0,1,0,1,0,0,1,0,0,0
87766,apartment,Villa del Parque,Capital Federal,-34.602358444000004,-58.49070537,76500.0,37.0,34.0,2067.5675675675675,1.0,0,0,1,0,0,1,0,1,0
87768,apartment,Belgrano,Capital Federal,-34.5598729,-58.443362,160350.0,43.0,37.0,3729.0697674418607,3.0,0,0,0,0,0,0,0,0,0
87772,apartment,Parque Patricios,Capital Federal,-34.633308,-58.407493,111601.0,53.0,45.0,2105.6792452830186,4.0,1,0,1,0,0,0,1,0,0
87773,apartment,Chacarita,Capital Federal,-34.5901808,-58.449152100000006,85470.0,40.0,37.0,2136.75,2.0,1,0,1,0,0,1,0,0,0
87782,apartment,Chacarita,Capital Federal,-34.5901808,-58.449152100000006,85470.0,40.0,37.0,2136.75,2.0,1,0,1,0,0,1,0,0,0
87787,apartment,Parque Patricios,Capital Federal,-34.633308,-58.407493,145489.0,66.0,59.0,2204.378787878788,4.0,1,0,1,0,0,0,1,0,0
87794,apartment,Parque Patricios,Capital Federal,-34.633308,-58.407493,99791.0,47.0,41.0,2123.2127659574467,4.0,1,0,1,0,0,0,1,0,0
87796,apartment,Chacarita,Capital Federal,-34.5901808,-58.449152100000006,87505.0,40.0,37.0,2187.625,2.0,1,0,1,0,0,1,0,0,0
87799,apartment,Caballito,Capital Federal,-34.6222111,-58.43912829999999,430000.0,135.0,115.0,3185.185185185185,4.0,0,0,1,1,1,1,1,1,0
87801,apartment,Nuñez,Capital Federal,-34.553577600000004,-58.45551139999999,158000.0,39.0,39.0,4051.2820512820513,2.0,0,0,0,0,0,0,1,0,0
87802,apartment,Capital Federal,Capital Federal,-34.615890187,-58.4777301155,120000.0,50.0,46.0,2400.0,1.0,0,0,0,0,0,0,0,1,0
87807,apartment,Chacarita,Capital Federal,-34.5901808,-58.449152100000006,87505.0,40.0,37.0,2187.625,2.0,1,0,1,0,0,1,0,0,0
87809,apartment,Nuñez,Capital Federal,-34.553577600000004,-58.45551139999999,275000.0,87.0,68.0,3160.919540229885,3.0,0,0,0,0,0,0,1,0,0
87810,apartment,Parque Patricios,Capital Federal,-34.633308,-58.407493,116705.0,56.0,47.0,2084.0178571428573,4.0,1,0,1,0,0,0,1,0,0
87812,apartment,Chacarita,Capital Federal,-34.5901808,-58.449152100000006,89540.0,40.0,37.0,2238.5,2.0,1,0,1,0,0,1,0,0,0
87813,apartment,Capital Federal,Capital Federal,-34.615890187,-58.4777301155,120000.0,50.0,46.0,2400.0,1.0,0,0,0,0,0,0,0,1,0
87820,apartment,Villa Urquiza,Capital Federal,-34.5842503785,-58.466220013599994,119000.0,53.0,53.0,2245.2830188679245,2.0,0,0,0,0,0,0,0,0,0
87824,apartment,Parque Patricios,Capital Federal,-34.633308,-58.407493,79597.0,36.0,30.0,2211.027777777778,4.0,1,0,1,0,0,0,1,0,0
87825,apartment,Chacarita,Capital Federal,-34.5901808,-58.449152100000006,89540.0,40.0,37.0,2238.5,2.0,1,0,1,0,0,1,0,0,0
87826,apartment,Capital Federal,Capital Federal,-34.615890187,-58.4777301155,120000.0,50.0,46.0,2400.0,1.0,0,0,0,0,0,0,0,1,0
87830,apartment,Villa Urquiza,Capital Federal,-34.5842503785,-58.466220013599994,129000.0,66.0,52.0,1954.5454545454545,2.0,0,0,0,0,0,0,0,0,0
87832,apartment,Parque Patricios,Capital Federal,-34.633308,-58.407493,106089.0,51.0,42.0,2080.176470588235,4.0,1,0,1,0,0,0,1,0,0
87836,apartment,Villa Urquiza,Capital Federal,-34.5842503785,-58.466220013599994,105000.0,47.0,40.0,2234.0425531914893,1.0,0,0,0,0,0,0,0,0,0
87838,apartment,Capital Federal,Capital Federal,-34.615890187,-58.4777301155,140000.0,83.0,46.0,1686.7469879518073,1.0,1,0,0,0,0,0,0,1,0
87840,apartment,Chacarita,Capital Federal,-34.5901808,-58.449152100000006,105165.0,51.0,48.0,2062.0588235294117,2.0,1,0,1,0,0,1,0,0,0
87842,apartment,Parque Patricios,Capital Federal,-34.633308,-58.407493,142478.0,77.0,58.0,1850.3636363636363,4.0,1,0,1,0,0,0,1,0,0
87847,apartment,Villa Urquiza,Capital Federal,-34.5842503785,-58.466220013599994,94000.0,47.0,40.0,2000.0,2.0,0,0,0,0,0,0,0,0,0
87852,apartment,Chacarita,Capital Federal,-34.5901808,-58.449152100000006,105165.0,51.0,48.0,2062.0588235294117,2.0,1,0,1,0,0,1,0,0,0
87853,apartment,Parque Patricios,Capital Federal,-34.633308,-58.407493,169920.0,87.0,69.0,1953.103448275862,4.0,1,0,1,0,0,0,1,0,0
87857,apartment,Villa Urquiza,Capital Federal,-34.5842503785,-58.466220013599994,96500.0,44.0,35.0,2193.181818181818,2.0,0,0,0,0,0,0,0,1,0
87867,apartment,Parque Patricios,Capital Federal,-34.633308,-58.407493,97367.0,53.0,34.0,1837.1132075471698,4.0,1,0,1,0,0,0,1,0,0
87868,apartment,San Telmo,Capital Federal,-34.6234817427,-58.37647300840001,86898.0,37.0,33.0,2348.5945945945946,1.0,0,0,0,0,0,0,0,0,0
87871,apartment,Chacarita,Capital Federal,-34.5901808,-58.449152100000006,107730.0,51.0,48.0,2112.3529411764707,2.0,1,0,1,0,0,1,0,0,0
87876,apartment,Parque Patricios,Capital Federal,-34.633308,-58.407493,125122.0,66.0,46.0,1895.7878787878788,4.0,1,0,1,0,0,0,1,0,0
87880,apartment,San Telmo,Capital Federal,-34.6234817427,-58.37647300840001,61500.0,30.0,27.0,2050.0,2.0,0,0,0,0,0,0,0,0,0
87885,apartment,Parque Patricios,Capital Federal,-34.633308,-58.407493,87239.0,48.0,37.0,1817.4791666666667,4.0,1,0,1,0,0,0,1,0,0
87890,apartment,Chacarita,Capital Federal,-34.5901808,-58.449152100000006,107730.0,51.0,48.0,2112.3529411764707,2.0,1,0,1,0,0,1,0,0,0
87891,apartment,San Telmo,Capital Federal,-34.6234817427,-58.37647300840001,53500.0,23.0,23.0,2326.086956521739,2.0,0,0,0,0,0,0,0,0,0
